# Created by CSS Data Browser Version 4.2.4.201908232322
# 
# Start Time : 2020-06-30 00:00:00.000
# End Time   : 2020-07-13 00:00:00.000
# Source     : Linear interp.
# Interpolation Interval: 00:01:00
# Format     : Decimal (2 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: PXD:P1012:hv:CURR:cur
# Archives:
# 1) PXD
#    URL: pbraw://pxdgw1.daqnet.kek.jp/retrieval/
#    Key: 1
# 
# Channel: SKB2:BMLDCCT:CURRENT
# Archives:
# 1) Belle2
#    URL: pbraw://b2arch1.daqnet.kek.jp:17668/retrieval/
#    Key: 3
# 2) DHH
#    URL: pbraw://pxddhh.daqnet.kek.jp:17668/retrieval/
#    Key: 5
# 
# Channel: SKB2:BMHDCCT:CURRENT
# Archives:
# 1) PXD
#    URL: pbraw://pxdgw1.daqnet.kek.jp/retrieval/
#    Key: 1
# 2) Belle2
#    URL: pbraw://b2arch1.daqnet.kek.jp:17668/retrieval/
#    Key: 3
# 3) DHH
#    URL: pbraw://pxddhh.daqnet.kek.jp:17668/retrieval/
#    Key: 5
# 
# Channel: PXD:P1012:hv-load:VOLT:cur
# Archives:
# 1) PXD
#    URL: pbraw://pxdgw1.daqnet.kek.jp/retrieval/
#    Key: 1
# 

# Time	PXD:P1012:hv:CURR:cur Value	SKB2:BMLDCCT:CURRENT Value	SKB2:BMHDCCT:CURRENT Value	PXD:P1012:hv-load:VOLT:cur Value
2020-06-30 01:23:00.000000000	-15.00	297.06	95.54	-169.46
2020-06-30 01:23:00.000000000	-15.00	297.06	95.54	-169.46
2020-06-30 01:23:00.000000000	-15.00	297.06	95.54	-169.46
2020-06-30 01:24:00.000000000	-13.93	297.83	130.42	-222.25
2020-06-30 01:24:00.000000000	-13.93	297.83	130.42	-222.25
2020-06-30 01:24:00.000000000	-13.93	297.83	130.42	-222.25
2020-06-30 01:25:00.000000000	-13.37	297.65	-0.04	-205.38
2020-06-30 01:25:00.000000000	-13.37	297.65	-0.04	-205.38
2020-06-30 01:25:00.000000000	-13.37	297.65	-0.04	-205.38
2020-06-30 01:26:00.000000000	-14.07	300.82	0.16	-217.07
2020-06-30 01:26:00.000000000	-14.07	300.82	0.16	-217.07
2020-06-30 01:26:00.000000000	-14.07	300.82	0.16	-217.07
2020-06-30 01:27:00.000000000	-14.43	296.74	0.57	-215.39
2020-06-30 01:27:00.000000000	-14.43	296.74	0.58	-215.39
2020-06-30 01:27:00.000000000	-14.43	296.74	0.58	-215.39
2020-06-30 01:28:00.000000000	-14.00	298.69	2.80	-208.16
2020-06-30 01:28:00.000000000	-14.00	298.69	2.81	-208.16
2020-06-30 01:28:00.000000000	-14.00	298.69	2.81	-208.16
2020-06-30 01:29:00.000000000	-14.59	298.61	10.00	-205.53
2020-06-30 01:29:00.000000000	-14.59	298.61	10.00	-205.53
2020-06-30 01:29:00.000000000	-14.59	298.61	10.00	-205.53
2020-06-30 01:30:00.000000000	-13.88	299.70	17.25	-191.00
2020-06-30 01:30:00.000000000	-13.88	299.70	17.25	-191.00
2020-06-30 01:30:00.000000000	-13.88	299.70	17.25	-191.00
2020-06-30 01:31:00.000000000	-13.39	299.76	24.78	-229.19
2020-06-30 01:31:00.000000000	-13.39	299.76	24.78	-229.19
2020-06-30 01:31:00.000000000	-13.39	299.76	24.78	-229.19
2020-06-30 01:32:00.000000000	-14.55	295.28	33.44	-198.74
2020-06-30 01:32:00.000000000	-14.55	295.28	33.44	-198.74
2020-06-30 01:32:00.000000000	-14.55	295.28	33.44	-198.74
2020-06-30 01:33:00.000000000	-14.94	297.74	46.20	-200.59
2020-06-30 01:33:00.000000000	-14.94	297.74	46.21	-200.59
2020-06-30 01:33:00.000000000	-14.94	297.74	46.21	-200.59
2020-06-30 01:34:00.000000000	-15.00	298.15	59.20	-229.88
2020-06-30 01:34:00.000000000	-15.00	298.15	59.20	-229.88
2020-06-30 01:34:00.000000000	-15.00	298.15	59.20	-229.88
2020-06-30 01:35:00.000000000	-13.88	299.36	69.75	-191.00
2020-06-30 01:35:00.000000000	-13.88	299.36	69.75	-191.00
2020-06-30 01:35:00.000000000	-13.88	299.36	69.75	-191.00
2020-06-30 01:36:00.000000000	-13.02	299.61	81.55	-191.77
2020-06-30 01:36:00.000000000	-13.02	299.61	81.54	-191.77
2020-06-30 01:36:00.000000000	-13.02	299.61	81.54	-191.77
2020-06-30 01:37:00.000000000	-14.51	296.62	98.34	-191.00
2020-06-30 01:37:00.000000000	-14.51	296.62	98.34	-191.00
2020-06-30 01:37:00.000000000	-14.51	296.62	98.34	-191.00
2020-06-30 01:38:00.000000000	-14.75	298.80	115.70	-191.57
2020-06-30 01:38:00.000000000	-14.75	298.80	115.70	-191.57
2020-06-30 01:38:00.000000000	-14.75	298.80	115.70	-191.57
2020-06-30 01:39:00.000000000	-15.00	298.90	121.27	-191.73
2020-06-30 01:39:00.000000000	-15.00	298.90	121.27	-191.73
